,hidden_layer_sizes,Run Time,loss,n_iter,Average F-Meas,Average Precision,Average Recall,Overall Accuracy
0,[100],181.77359104156494,0.4251776496831081,60.0,0.69,0.77,0.65,0.83
1,"[100, 100]",207.34609293937683,0.3755199194038355,37.0,0.72,0.8,0.68,0.84
2,"[100, 100, 100]",253.36570000648499,0.3273650286073188,31.0,0.75,0.8,0.72,0.86
3,"[100, 100, 100, 100]",264.1446568965912,0.3237998493236658,25.0,0.75,0.81,0.71,0.86
4,"[100, 100, 100, 100, 100]",124.82626819610596,0.4146792508410602,10.0,0.66,0.76,0.62,0.81
