,power_t,Run Time,loss,n_iter,Average F-Meas,Average Precision,Average Recall,Overall Accuracy
0,0.1,198.36361002922058,0.4207751518267265,71.0,0.68,0.77,0.64,0.83
1,0.2,221.79680609703064,0.4125694597537108,78.0,0.71,0.77,0.68,0.83
2,0.3,234.6884319782257,0.40709818264211106,82.0,0.7,0.77,0.66,0.83
3,0.4,242.87677693367004,0.39923701976107,84.0,0.71,0.78,0.67,0.84
4,0.5,155.7004110813141,0.4337949367276735,54.0,0.65,0.75,0.62,0.82
5,0.6,214.61471605300903,0.41348478119895554,73.0,0.69,0.77,0.65,0.83
6,0.7,172.26084208488464,0.43472976641688715,58.0,0.67,0.75,0.64,0.82
7,0.7999999999999999,172.59651398658752,0.43476845730959784,60.0,0.67,0.75,0.64,0.82
8,0.8999999999999999,230.57144403457642,0.40745765191620115,81.0,0.71,0.76,0.68,0.83
9,0.9999999999999999,191.92483806610107,0.42153262926350005,68.0,0.7,0.76,0.66,0.82
10,1.0999999999999999,182.41054391860962,0.41997537392015216,66.0,0.7,0.77,0.66,0.82
11,1.2,193.7416970729828,0.42121424680752995,68.0,0.69,0.78,0.65,0.82
12,1.3,173.13823199272156,0.43422932043820106,61.0,0.67,0.78,0.64,0.82
13,1.4,277.92194294929504,0.39558532132416224,97.0,0.73,0.79,0.69,0.84
14,1.5,122.13089990615845,0.45374956286953,42.0,0.65,0.76,0.61,0.81
15,1.5999999999999999,200.6487739086151,0.4135191157538498,70.0,0.7,0.77,0.66,0.83
16,1.7,244.06645798683167,0.402818100841885,84.0,0.7,0.77,0.66,0.83
17,1.8,171.73508596420288,0.4251048081156498,60.0,0.66,0.75,0.62,0.82
18,1.9,233.58380103111267,0.4061105856451729,81.0,0.7,0.78,0.66,0.83
19,2.0,103.17664098739624,0.46246013246950013,36.0,0.64,0.74,0.6,0.8
