,learning_rate_init,Run Time,loss,n_iter,Average F-Meas,Average Precision,Average Recall,Overall Accuracy
0,1e-05,318.8878149986267,0.6763394030388472,109.0,0.42,0.56,0.43,0.72
1,4.9999999999999996e-05,402.18665599823,0.5771545353572494,137.0,0.56,0.68,0.52,0.75
2,0.0001,393.79451179504395,0.5350965175460062,140.0,0.59,0.7,0.56,0.77
3,0.0004999999999999999,288.37937688827515,0.4382784443838412,102.0,0.68,0.77,0.64,0.82
4,0.001,140.50205516815186,0.44140224783469284,50.0,0.66,0.76,0.62,0.81
5,0.004999999999999999,83.53106594085693,0.38900763516829,30.0,0.69,0.8,0.65,0.84
6,0.01,50.64107894897461,0.4052703564814655,18.0,0.68,0.79,0.63,0.83
7,0.049999999999999996,14.290585041046143,0.44035169761808013,5.0,0.64,0.79,0.61,0.79
8,0.1,16.761712074279785,0.44278176280021314,6.0,0.71,0.75,0.69,0.81
9,0.5,30.769331216812134,0.5070719862138102,13.0,0.64,0.67,0.63,0.79
10,1.0,9.683757066726685,3962039145.5251455,4.0,0.1,0.35,0.15,0.49
